id,datetime,season,hour,holiday,weekday,weathersit,temp,humidity,windspeed,ride_count
1,2024-01-01T00:00:00,1,0,0,1,3,29.39,82.93,16.92,169
2,2024-01-01T01:00:00,1,1,0,1,2,25.85,69.41,23.81,121
3,2024-01-01T02:00:00,1,2,0,1,1,26.68,72.28,15.51,131
4,2024-01-01T03:00:00,1,3,0,1,1,26.9,59.78,8.95,70
5,2024-01-01T04:00:00,1,4,0,1,2,28.21,64.64,23.79,172
6,2024-01-01T05:00:00,1,5,0,1,2,30.14,78.74,6.67,301
7,2024-01-01T06:00:00,1,6,0,1,1,31.86,67.4,13.29,301
8,2024-01-01T07:00:00,1,7,0,1,1,29.65,66.22,8.67,1630
9,2024-01-01T08:00:00,1,8,0,1,2,28.83,71.19,18.71,2382
10,2024-01-01T09:00:00,1,9,0,1,1,28.47,76.58,8.99,2350
11,2024-01-01T10:00:00,1,10,0,1,1,30.39,71.84,12.26,1409
12,2024-01-01T11:00:00,1,11,0,1,4,28.42,96.98,29.07,1799
13,2024-01-01T12:00:00,1,12,0,1,1,28.37,63.21,15.35,1989
14,2024-01-01T13:00:00,1,13,0,1,2,26.59,77.74,19.05,1388
15,2024-01-01T14:00:00,1,14,0,1,1,26.28,77.74,9.86,1195
16,2024-01-01T15:00:00,1,15,0,1,1,29.92,82.5,10.03,952
17,2024-01-01T16:00:00,1,16,0,1,1,25.16,54.21,13.65,1372
18,2024-01-01T17:00:00,1,17,0,1,1,26.79,58.7,8.53,3244
19,2024-01-01T18:00:00,1,18,0,1,4,29.86,91.26,21.98,4185
20,2024-01-01T19:00:00,1,19,0,1,3,27.99,85.29,20.39,3749
21,2024-01-01T20:00:00,1,20,0,1,4,27.5,94.34,26.36,2711
22,2024-01-01T21:00:00,1,21,0,1,2,28.66,79.19,11.16,1952
23,2024-01-01T22:00:00,1,22,0,1,1,30.29,70.76,11.2,626
24,2024-01-01T23:00:00,1,23,0,1,1,27.79,63.18,12.62,910
25,2024-01-02T00:00:00,1,0,0,2,2,28.71,80.03,18.26,65
26,2024-01-02T01:00:00,1,1,0,2,2,29.46,78.42,13.18,93
27,2024-01-02T02:00:00,1,2,0,2,2,31.43,83.22,2.97,127
28,2024-01-02T03:00:00,1,3,0,2,1,27.09,70.29,13.02,133
29,2024-01-02T04:00:00,1,4,0,2,1,27.02,72.81,11.54,160
30,2024-01-02T05:00:00,1,5,0,2,1,27.59,60.06,10.45,425
31,2024-01-02T06:00:00,1,6,0,2,1,29.89,62.34,7.16,335
32,2024-01-02T07:00:00,1,7,0,2,1,29.25,59.25,6.41,2748
33,2024-01-02T08:00:00,1,8,0,2,3,29.1,85.86,13.38,3961
34,2024-01-02T09:00:00,1,9,0,2,2,29.1,88.4,3.19,2259
35,2024-01-02T10:00:00,1,10,0,2,1,29.41,71.35,13.74,1260
36,2024-01-02T11:00:00,1,11,0,2,3,30.02,81.98,17.79,1434
37,2024-01-02T12:00:00,1,12,0,2,3,27.92,91.46,18.55,1716
38,2024-01-02T13:00:00,1,13,0,2,3,27.41,88.29,15.97,1882
39,2024-01-02T14:00:00,1,14,0,2,2,26.89,83.46,15.54,1117
40,2024-01-02T15:00:00,1,15,0,2,1,26.51,68.13,7.97,900
41,2024-01-02T16:00:00,1,16,0,2,2,30.19,77.8,8.27,1093
42,2024-01-02T17:00:00,1,17,0,2,1,30.39,67.13,13.58,2455
43,2024-01-02T18:00:00,1,18,0,2,1,24.96,64.63,8.25,2838
44,2024-01-02T19:00:00,1,19,0,2,4,26.95,95.43,33.52,4391
45,2024-01-02T20:00:00,1,20,0,2,1,27.45,59.04,14.92,1772
46,2024-01-02T21:00:00,1,21,0,2,2,28.62,64.4,25.45,1418
47,2024-01-02T22:00:00,1,22,0,2,1,27.98,69.07,8.02,442
48,2024-01-02T23:00:00,1,23,0,2,3,30.07,85.88,14.98,911
49,2024-01-03T00:00:00,1,0,0,3,2,30.37,82.16,22.44,129
50,2024-01-03T01:00:00,1,1,0,3,2,27.84,84.96,17.35,146
51,2024-01-03T02:00:00,1,2,0,3,1,28.03,72.3,5.36,144
52,2024-01-03T03:00:00,1,3,0,3,1,27.63,68.56,9.92,105
53,2024-01-03T04:00:00,1,4,0,3,2,28.85,94.16,13.44,187
54,2024-01-03T05:00:00,1,5,0,3,3,30.06,91.36,14.71,514
55,2024-01-03T06:00:00,1,6,0,3,1,28.19,67.96,20.14,361
56,2024-01-03T07:00:00,1,7,0,3,3,30.81,84.68,14.55,3286
57,2024-01-03T08:00:00,1,8,0,3,1,26.06,64.68,3.08,2644
58,2024-01-03T09:00:00,1,9,0,3,1,28.41,61.86,13.02,3127
59,2024-01-03T10:00:00,1,10,0,3,1,27.4,52.21,12.08,956
60,2024-01-03T11:00:00,1,11,0,3,1,31.28,75.28,7.57,1144
61,2024-01-03T12:00:00,1,12,0,3,1,28.22,63.5,8.44,1129
62,2024-01-03T13:00:00,1,13,0,3,1,30.19,56.87,9.71,1287
63,2024-01-03T14:00:00,1,14,0,3,1,29.82,59.83,10.61,866
64,2024-01-03T15:00:00,1,15,0,3,2,29.75,72.33,16.6,1480
65,2024-01-03T16:00:00,1,16,0,3,1,28.31,65.44,11.34,1069
66,2024-01-03T17:00:00,1,17,0,3,3,29.49,88.28,21.18,3832
67,2024-01-03T18:00:00,1,18,0,3,1,28.54,64.58,13.11,3747
68,2024-01-03T19:00:00,1,19,0,3,1,27.66,64.76,8.16,2940
69,2024-01-03T20:00:00,1,20,0,3,1,32.07,67.35,13.58,1930
70,2024-01-03T21:00:00,1,21,0,3,3,28.06,85.95,9.22,2854
71,2024-01-03T22:00:00,1,22,0,3,1,26.14,49.98,13.18,655
72,2024-01-03T23:00:00,1,23,0,3,2,30.61,78.4,13.29,884
73,2024-01-04T00:00:00,1,0,0,4,2,30.16,74.61,17.43,157
74,2024-01-04T01:00:00,1,1,0,4,1,29.66,65.69,13.25,165
75,2024-01-04T02:00:00,1,2,0,4,2,32,67.04,10.47,229
76,2024-01-04T03:00:00,1,3,0,4,2,27.51,73.77,13.2,152
77,2024-01-04T04:00:00,1,4,0,4,3,28.68,86.17,14.3,113
78,2024-01-04T05:00:00,1,5,0,4,1,27.5,68.8,5.86,378
79,2024-01-04T06:00:00,1,6,0,4,1,24.69,80.54,11.57,358
80,2024-01-04T07:00:00,1,7,0,4,2,28.46,83.6,16.67,2758
81,2024-01-04T08:00:00,1,8,0,4,2,31.09,82.3,12.84,2526
82,2024-01-04T09:00:00,1,9,0,4,1,30.48,63.46,14.8,2601
83,2024-01-04T10:00:00,1,10,0,4,1,29.63,65.31,17.45,1319
84,2024-01-04T11:00:00,1,11,0,4,1,28.68,51.81,9.51,1226
85,2024-01-04T12:00:00,1,12,0,4,2,27.8,85.87,18.41,1637
86,2024-01-04T13:00:00,1,13,0,4,2,28.52,81.65,17.79,1511
87,2024-01-04T14:00:00,1,14,0,4,1,28.07,69.06,13.77,1156
88,2024-01-04T15:00:00,1,15,0,4,1,26.9,63.15,14.86,1314
89,2024-01-04T16:00:00,1,16,0,4,2,27.07,76.5,14.8,950
90,2024-01-04T17:00:00,1,17,0,4,2,28.25,78.61,17.27,3413
91,2024-01-04T18:00:00,1,18,0,4,1,28.46,56.99,6.11,3826
92,2024-01-04T19:00:00,1,19,0,4,1,28.33,58.35,8.57,2636
93,2024-01-04T20:00:00,1,20,0,4,1,28.28,50.81,10.25,1384
94,2024-01-04T21:00:00,1,21,0,4,1,29.95,65.73,13.87,1308
95,2024-01-04T22:00:00,1,22,0,4,1,30.24,72.23,5.98,785
96,2024-01-04T23:00:00,1,23,0,4,1,28.72,67.3,6.63,627
97,2024-01-05T00:00:00,1,0,0,5,1,28.5,69.51,13.76,133
98,2024-01-05T01:00:00,1,1,0,5,2,27.72,83.07,17.63,168
99,2024-01-05T02:00:00,1,2,0,5,2,29.59,73.12,19.35,169
100,2024-01-05T03:00:00,1,3,0,5,1,29,60.02,16.45,154
101,2024-01-05T04:00:00,1,4,0,5,2,27.81,79.33,22.74,108
102,2024-01-05T05:00:00,1,5,0,5,2,31.39,75.89,11.75,322
103,2024-01-05T06:00:00,1,6,0,5,2,29.64,77.15,16.04,391
104,2024-01-05T07:00:00,1,7,0,5,1,28.4,68.45,4.99,2960
105,2024-01-05T08:00:00,1,8,0,5,1,31.06,65.5,12.25,3421
106,2024-01-05T09:00:00,1,9,0,5,2,25.56,82.55,12.74,2616
107,2024-01-05T10:00:00,1,10,0,5,1,28.78,65.23,11.41,1551
108,2024-01-05T11:00:00,1,11,0,5,3,27.67,88.87,20.78,2036
109,2024-01-05T12:00:00,1,12,0,5,1,30.25,67.66,12.23,1765
110,2024-01-05T13:00:00,1,13,0,5,1,28.69,63.71,10.5,1785
111,2024-01-05T14:00:00,1,14,0,5,1,31.2,55.7,12.23,1045
112,2024-01-05T15:00:00,1,15,0,5,1,28.04,64.98,5.07,897
113,2024-01-05T16:00:00,1,16,0,5,3,31.7,82.57,11.54,996
114,2024-01-05T17:00:00,1,17,0,5,1,27.58,61.02,7.68,3482
115,2024-01-05T18:00:00,1,18,0,5,1,27.26,60.48,7.44,2759
116,2024-01-05T19:00:00,1,19,0,5,3,26.29,88.72,14.25,4336
117,2024-01-05T20:00:00,1,20,0,5,2,25.82,79.59,13.43,1836
118,2024-01-05T21:00:00,1,21,0,5,1,25.12,63.57,8.43,1582
119,2024-01-05T22:00:00,1,22,0,5,2,29.6,71.12,11.37,861
120,2024-01-05T23:00:00,1,23,0,5,1,29.68,70.8,14.71,612
121,2024-01-06T00:00:00,1,0,0,6,1,29.46,72.25,10.25,79
122,2024-01-06T01:00:00,1,1,0,6,1,29.87,59.78,8.96,170
123,2024-01-06T02:00:00,1,2,0,6,1,30.82,57,15.29,150
124,2024-01-06T03:00:00,1,3,0,6,3,31.28,80.48,13.49,127
125,2024-01-06T04:00:00,1,4,0,6,1,26.86,60.81,17.64,74
126,2024-01-06T05:00:00,1,5,0,6,1,28.96,65.71,11.98,239
127,2024-01-06T06:00:00,1,6,0,6,1,27.04,65.69,12.49,202
128,2024-01-06T07:00:00,1,7,0,6,1,29.17,67.72,14.37,2272
129,2024-01-06T08:00:00,1,8,0,6,1,25.79,71.16,8.52,2214
130,2024-01-06T09:00:00,1,9,0,6,1,27.68,50.63,13.51,1922
131,2024-01-06T10:00:00,1,10,0,6,1,28.24,65.84,19.02,747
132,2024-01-06T11:00:00,1,11,0,6,1,29.2,52.67,16.85,935
133,2024-01-06T12:00:00,1,12,0,6,1,27.6,64.12,13.82,970
134,2024-01-06T13:00:00,1,13,0,6,1,28.41,63.7,11.25,1273
135,2024-01-06T14:00:00,1,14,0,6,2,27.35,64,14.43,1015
136,2024-01-06T15:00:00,1,15,0,6,1,28.46,57.19,10.31,1003
137,2024-01-06T16:00:00,1,16,0,6,2,29.23,80.88,16.2,777
138,2024-01-06T17:00:00,1,17,0,6,2,25.51,79.14,14.16,2176
139,2024-01-06T18:00:00,1,18,0,6,2,32.33,86.64,10.49,2280
140,2024-01-06T19:00:00,1,19,0,6,3,29.28,89.2,18.21,3625
141,2024-01-06T20:00:00,1,20,0,6,2,29.47,75.82,6.89,1640
142,2024-01-06T21:00:00,1,21,0,6,3,30.88,83.19,20.01,1700
143,2024-01-06T22:00:00,1,22,0,6,2,28.07,75.18,16.35,714
144,2024-01-06T23:00:00,1,23,0,6,2,29.27,72.85,12.57,504
145,2024-01-07T00:00:00,1,0,0,0,1,29.51,64.36,9.32,70
146,2024-01-07T01:00:00,1,1,0,0,1,28.22,62.89,8.01,100
147,2024-01-07T02:00:00,1,2,0,0,2,27.48,67.55,18.69,94
148,2024-01-07T03:00:00,1,3,0,0,1,27.05,76.1,13.93,136
149,2024-01-07T04:00:00,1,4,0,0,2,28.38,79.15,12.88,113
150,2024-01-07T05:00:00,1,5,0,0,2,27.35,77.86,12.05,422
151,2024-01-07T06:00:00,1,6,0,0,3,28.06,85.16,14.66,364
152,2024-01-07T07:00:00,1,7,0,0,1,30.74,60.83,14.21,2328
153,2024-01-07T08:00:00,1,8,0,0,2,28.01,83.24,10.11,2524
154,2024-01-07T09:00:00,1,9,0,0,1,28.84,59.56,14.23,2219
155,2024-01-07T10:00:00,1,10,0,0,3,28.51,93.78,15.45,1426
156,2024-01-07T11:00:00,1,11,0,0,4,28.24,92.4,36.43,1221
157,2024-01-07T12:00:00,1,12,0,0,3,28.31,78.21,15.47,1554
158,2024-01-07T13:00:00,1,13,0,0,3,29.2,89.25,13.22,1600
159,2024-01-07T14:00:00,1,14,0,0,1,27.13,65.27,4.58,1214
160,2024-01-07T15:00:00,1,15,0,0,3,27.72,90.35,16.86,1149
161,2024-01-07T16:00:00,1,16,0,0,1,28.95,59.23,15.95,844
162,2024-01-07T17:00:00,1,17,0,0,1,29.04,56.54,8.52,2789
163,2024-01-07T18:00:00,1,18,0,0,1,27.24,61.95,6.41,3471
164,2024-01-07T19:00:00,1,19,0,0,2,31.99,67.62,19.42,2216
165,2024-01-07T20:00:00,1,20,0,0,1,27.12,73.62,3.93,1501
166,2024-01-07T21:00:00,1,21,0,0,1,29.07,64.93,18.1,1859
167,2024-01-07T22:00:00,1,22,0,0,1,30.01,72.66,7.68,456
168,2024-01-07T23:00:00,1,23,0,0,2,28.88,79.37,14,540
169,2024-01-08T00:00:00,1,0,0,1,3,29.05,87.8,17.4,224
170,2024-01-08T01:00:00,1,1,0,1,2,28.2,68.97,19,83
171,2024-01-08T02:00:00,1,2,0,1,1,29.78,59.98,13.55,153
172,2024-01-08T03:00:00,1,3,0,1,1,28.26,69.85,12.64,112
173,2024-01-08T04:00:00,1,4,0,1,2,26.89,72.96,10.85,145
174,2024-01-08T05:00:00,1,5,0,1,2,28.93,78.37,7.61,499
175,2024-01-08T06:00:00,1,6,0,1,1,27.73,60.83,12.12,427
176,2024-01-08T07:00:00,1,7,0,1,3,30.48,94.12,10.13,3346
177,2024-01-08T08:00:00,1,8,0,1,1,28.37,60.4,8.09,2794
178,2024-01-08T09:00:00,1,9,0,1,1,29.65,70.45,8.04,3080
179,2024-01-08T10:00:00,1,10,0,1,1,26.19,60.04,8.76,785
180,2024-01-08T11:00:00,1,11,0,1,4,28.78,94.27,30.4,1041
181,2024-01-08T12:00:00,1,12,0,1,2,27.53,81.15,12.72,1332
182,2024-01-08T13:00:00,1,13,0,1,3,28.52,83.27,19.6,1786
183,2024-01-08T14:00:00,1,14,0,1,2,26.58,71.47,8.97,836
184,2024-01-08T15:00:00,1,15,0,1,1,28.36,54.99,13.31,1329
185,2024-01-08T16:00:00,1,16,0,1,4,28.62,94.75,21.76,1984
186,2024-01-08T17:00:00,1,17,0,1,4,28.82,96.98,26.04,5080
187,2024-01-08T18:00:00,1,18,0,1,2,30.52,85.29,18.67,3239
188,2024-01-08T19:00:00,1,19,0,1,1,31.89,61.69,11.94,2978
189,2024-01-08T20:00:00,1,20,0,1,1,27.81,59.88,15.02,1892
190,2024-01-08T21:00:00,1,21,0,1,3,28.67,84.13,31.55,1880
191,2024-01-08T22:00:00,1,22,0,1,1,31.22,57.47,14.11,587
192,2024-01-08T23:00:00,1,23,0,1,1,26.58,70.7,5.73,493
193,2024-01-09T00:00:00,1,0,0,2,2,27.8,84.61,16.08,149
194,2024-01-09T01:00:00,1,1,0,2,2,28.47,82.78,16.19,126
195,2024-01-09T02:00:00,1,2,0,2,1,28.03,61.7,11.77,117
196,2024-01-09T03:00:00,1,3,0,2,1,31.1,59.49,17.56,145
197,2024-01-09T04:00:00,1,4,0,2,2,26.43,76.21,8.3,101
198,2024-01-09T05:00:00,1,5,0,2,1,27.75,80.07,8.18,350
199,2024-01-09T06:00:00,1,6,0,2,1,30.25,67.78,10.49,434
200,2024-01-09T07:00:00,1,7,0,2,2,31,67.41,18.57,2944
201,2024-01-09T08:00:00,1,8,0,2,1,30.07,66.91,15.18,2404
202,2024-01-09T09:00:00,1,9,0,2,1,28.23,65.89,11.41,3156
203,2024-01-09T10:00:00,1,10,0,2,3,28.79,86.71,27.08,1764
204,2024-01-09T11:00:00,1,11,0,2,1,28.51,75.91,10.2,1267
205,2024-01-09T12:00:00,1,12,0,2,1,26.82,54.02,9.73,1373
206,2024-01-09T13:00:00,1,13,0,2,1,28.33,74.22,13.04,1749
207,2024-01-09T14:00:00,1,14,0,2,1,25.95,65.1,8.75,1298
208,2024-01-09T15:00:00,1,15,0,2,2,28.45,77.85,9.74,1189
209,2024-01-09T16:00:00,1,16,0,2,1,29.59,54.37,9.5,636
210,2024-01-09T17:00:00,1,17,0,2,1,26.28,73.36,16.75,3821
211,2024-01-09T18:00:00,1,18,0,2,1,27.48,52.89,18.36,3555
212,2024-01-09T19:00:00,1,19,0,2,2,29.37,82.77,7.72,3236
213,2024-01-09T20:00:00,1,20,0,2,2,27.29,84.29,16.89,1724
214,2024-01-09T21:00:00,1,21,0,2,1,30.75,68.96,14.15,1621
215,2024-01-09T22:00:00,1,22,0,2,3,29.56,88.79,31.92,720
216,2024-01-09T23:00:00,1,23,0,2,2,28.14,74.24,20.03,784
217,2024-01-10T00:00:00,1,0,0,3,2,27.6,71.64,21.04,226
218,2024-01-10T01:00:00,1,1,0,3,1,28.11,57.54,13.61,78
219,2024-01-10T02:00:00,1,2,0,3,4,28.32,95.67,23.8,248
220,2024-01-10T03:00:00,1,3,0,3,1,27.86,74.32,13.27,138
221,2024-01-10T04:00:00,1,4,0,3,3,30.34,91.55,22.48,243
222,2024-01-10T05:00:00,1,5,0,3,1,29.08,74.02,9.62,425
223,2024-01-10T06:00:00,1,6,0,3,1,26.98,64.99,11.32,330
224,2024-01-10T07:00:00,1,7,0,3,1,28.38,57.91,7.12,3471
225,2024-01-10T08:00:00,1,8,0,3,1,24.1,61.32,10.32,2647
226,2024-01-10T09:00:00,1,9,0,3,1,26.76,63.56,12.68,4142
227,2024-01-10T10:00:00,1,10,0,3,1,29.6,67.91,11.75,654
228,2024-01-10T11:00:00,1,11,0,3,1,29.67,70.4,13.34,801
229,2024-01-10T12:00:00,1,12,0,3,1,29.52,61.96,9.86,1430
230,2024-01-10T13:00:00,1,13,0,3,1,31.17,66.53,11.92,1423
231,2024-01-10T14:00:00,1,14,0,3,1,30.53,53.08,13.37,1298
232,2024-01-10T15:00:00,1,15,0,3,3,26.88,87.28,31.42,1452
233,2024-01-10T16:00:00,1,16,0,3,1,28.14,62.52,10.83,1109
234,2024-01-10T17:00:00,1,17,0,3,1,28.35,66.22,10.44,3656
235,2024-01-10T18:00:00,1,18,0,3,1,27.29,76.82,15.96,3783
236,2024-01-10T19:00:00,1,19,0,3,2,30.71,85.54,12.55,2445
237,2024-01-10T20:00:00,1,20,0,3,3,30.12,88.9,7.13,2392
238,2024-01-10T21:00:00,1,21,0,3,1,27.11,61.7,12.31,1847
239,2024-01-10T22:00:00,1,22,0,3,3,28.45,79.9,16.41,735
240,2024-01-10T23:00:00,1,23,0,3,1,27.75,61.77,11.71,782
241,2024-01-11T00:00:00,1,0,0,4,1,28.47,52.66,7.09,85
242,2024-01-11T01:00:00,1,1,0,4,1,30.12,59.79,12.46,179
243,2024-01-11T02:00:00,1,2,0,4,2,27.46,73.1,3.67,123
244,2024-01-11T03:00:00,1,3,0,4,2,29.42,84.22,16.99,169
245,2024-01-11T04:00:00,1,4,0,4,1,30.25,65.77,8.56,221
246,2024-01-11T05:00:00,1,5,0,4,2,30.14,81.25,14.71,411
247,2024-01-11T06:00:00,1,6,0,4,2,25.1,83.83,15.3,437
248,2024-01-11T07:00:00,1,7,0,4,2,30.1,79.25,2.81,2378
249,2024-01-11T08:00:00,1,8,0,4,1,29.56,68.66,13.85,2278
250,2024-01-11T09:00:00,1,9,0,4,1,30.66,62.81,13.97,2824
251,2024-01-11T10:00:00,1,10,0,4,2,28.32,68.76,19.64,1207
252,2024-01-11T11:00:00,1,11,0,4,2,28.02,73.27,12.22,1219
253,2024-01-11T12:00:00,1,12,0,4,2,28.94,86.01,20.04,1759
254,2024-01-11T13:00:00,1,13,0,4,1,30.22,66.85,11.28,919
255,2024-01-11T14:00:00,1,14,0,4,1,29.39,68.41,16.84,1071
256,2024-01-11T15:00:00,1,15,0,4,2,31.43,81.88,8.58,1222
257,2024-01-11T16:00:00,1,16,0,4,3,28.16,85.07,22.2,1267
258,2024-01-11T17:00:00,1,17,0,4,1,30.09,60.97,20.76,3033
259,2024-01-11T18:00:00,1,18,0,4,2,28.63,67.4,18.84,3989
260,2024-01-11T19:00:00,1,19,0,4,1,27.84,56.24,10.14,2560
261,2024-01-11T20:00:00,1,20,0,4,2,29.41,79.58,18.95,1857
262,2024-01-11T21:00:00,1,21,0,4,1,28.98,70.15,15.83,1514
263,2024-01-11T22:00:00,1,22,0,4,1,26.4,64.24,8.63,668
264,2024-01-11T23:00:00,1,23,0,4,1,26.51,71.25,6.86,777
265,2024-01-12T00:00:00,1,0,0,5,1,27.85,67.59,13.57,164
