id,datetime,season,hour,holiday,weekday,weathersit,temp,humidity,windspeed,ride_count
1,2025-01-01T00:00:00,1,0,0,3,4,24.58,95.78,29.91,262
2,2025-01-01T01:00:00,1,1,0,3,1,29.15,71.84,7.28,107
3,2025-01-01T02:00:00,1,2,0,3,3,28.23,94.89,23.63,117
4,2025-01-01T03:00:00,1,3,0,3,1,26.09,76.83,13.05,141
5,2025-01-01T04:00:00,1,4,0,3,1,27.92,64.98,7.3,125
6,2025-01-01T05:00:00,1,5,0,3,1,28.64,67.46,8.53,365
7,2025-01-01T06:00:00,1,6,0,3,1,26.48,62.52,9.37,423
8,2025-01-01T07:00:00,1,7,0,3,2,27.52,74,16.99,2666
9,2025-01-01T08:00:00,1,8,0,3,1,31.9,72.23,7.39,2675
10,2025-01-01T09:00:00,1,9,0,3,2,27.38,78.61,17,2512
11,2025-01-01T10:00:00,1,10,0,3,2,26.8,78,15.55,1230
12,2025-01-01T11:00:00,1,11,0,3,1,32.75,70.31,12.73,1207
13,2025-01-01T12:00:00,1,12,0,3,1,26.58,58.6,13.11,1667
14,2025-01-01T13:00:00,1,13,0,3,1,29.34,61.94,5.95,1426
15,2025-01-01T14:00:00,1,14,0,3,1,25.14,58.85,11.95,1285
16,2025-01-01T15:00:00,1,15,0,3,1,25,58.81,12.9,1080
17,2025-01-01T16:00:00,1,16,0,3,3,29.01,92.09,10.1,1045
18,2025-01-01T17:00:00,1,17,0,3,2,28.08,84.62,13.06,3302
19,2025-01-01T18:00:00,1,18,0,3,2,29.13,72.04,23.28,2938
20,2025-01-01T19:00:00,1,19,0,3,1,30.29,67.17,4.03,3401
21,2025-01-01T20:00:00,1,20,0,3,1,31.17,55.82,9.82,2037
22,2025-01-01T21:00:00,1,21,0,3,1,29.19,60.52,11.26,2078
23,2025-01-01T22:00:00,1,22,0,3,2,30.45,76.94,13.48,741
24,2025-01-01T23:00:00,1,23,0,3,1,28.71,69.65,4.91,623
